home_1,home_2,link_count,num_possible,avg_link,type,home_1_number,home_2_number
dqcnbbdk,dqcnbbpm,1,2,0.5,0,1,1
dqcp1yek,dqcp4nhc,2,3,0.6666666666666666,0,2,1
dqcncrp5,dqcncucd,1,2,0.5,0,1,1
dqcp1yek,dqcp3853,1,3,0.3333333333333333,0,2,1
dqcn8zhj,dqcncx46,1,4,0.25,0,2,2
dqcne4gx,dqcng44h,2,4,0.5,0,2,2
dqcp1yty,dqcp1z1c,1,2,0.5,0,1,1
dqcn9rqs,dqcnc4u8,2,3,0.6666666666666666,0,1,2
dqcnct4r,dqcp42f1,1,2,0.5,0,1,1
dqcp1ys8,dqcp3853,1,2,0.5,0,1,1
dqcncgpy,dqcng5m0,1,3,0.3333333333333333,0,1,2
dqcnc7bd,dqcne0em,1,3,0.3333333333333333,0,1,2
dqcp4htm,dqcp4jxf,1,3,0.3333333333333333,0,1,2
dqcnc7y0,dqcnfss0,1,4,0.25,0,1,3
dqcncueg,dqcp3bq1,1,2,0.5,0,1,1
dqcp32j7,dqcp4hjy,1,2,0.5,0,1,1
dqcp478m,dqcp4hjy,1,2,0.5,0,1,1
dqcp1wg7,dqcp1ys8,1,2,0.5,0,1,1
dqcnem9f,dqcp4kgd,1,3,0.3333333333333333,0,1,2
dqcng0es,dqcng237,1,2,0.5,0,1,1
dqcp47ch,dqcp4jy6,2,4,0.5,0,3,1
dqcncssg,dqcp40cq,1,3,0.3333333333333333,0,1,2
dqcndte4,dqcnf54m,1,2,0.5,0,1,1
dqcng2bf,dqcng8js,2,4,0.5,0,3,1
dqcp3b1m,dqcp4hjy,1,2,0.5,0,1,1
dqcnfc69,dqcng57p,1,2,0.5,0,1,1
dqcncc0x,dqcncv53,1,2,0.5,0,1,1
dqcp1yv9,dqcp4jrz,2,3,0.6666666666666666,0,1,2
dqcncf4c,dqcncwq7,1,2,0.5,0,1,1
dqcp1gsz,dqcp1gtj,1,2,0.5,0,1,1
dqcncv53,dqcncvvc,1,2,0.5,0,1,1
dqcp4hjy,dqcp4j6g,1,2,0.5,0,1,1
dqcnc60q,dqcnc6vt,2,3,0.6666666666666666,0,2,1
dqcngfnt,dqcp4jjg,1,2,0.5,0,1,1
dqcngnjv,dqcngnx2,1,2,0.5,0,1,1
dqcng0g7,dqcp1suq,1,3,0.3333333333333333,0,2,1
dqcp1fce,dqcp1gmz,2,3,0.6666666666666666,0,1,2
dqcng78b,dqcng78d,1,2,0.5,0,1,1
dqcn7pg9,dqcnc5f6,1,2,0.5,0,1,1
dqcnc48z,dqcnc6ht,1,2,0.5,0,1,1
dqcnc9vh,dqcncdmb,1,3,0.3333333333333333,0,2,1
dqcnfmnq,dqcnfw79,1,2,0.5,0,1,1
dqcncxsz,dqcp40qh,1,3,0.3333333333333333,0,2,1
dqcp1vqh,dqcp38jd,1,2,0.5,0,1,1
dqcn71f0,dqcp1xyv,1,2,0.5,0,1,1
dqcncdq7,dqcnce4u,1,3,0.3333333333333333,0,2,1
dqcp4htm,dqcp4jjg,1,2,0.5,0,1,1
dqcncc0t,dqcnf6cj,1,2,0.5,0,1,1
dqcnbchx,dqcnc29k,2,3,0.6666666666666666,0,1,2
dqcp1w9k,dqcp609q,1,2,0.5,0,1,1
dqcnc78q,dqcnc9vy,1,2,0.5,0,1,1
dqcp38qj,dqcp4jxf,2,3,0.6666666666666666,0,1,2
dqcndtxt,dqcp1w3h,1,2,0.5,0,1,1
dqcngjgx,dqcngqhc,2,3,0.6666666666666666,1,2,1
dqcp1wft,dqcp4ndn,1,2,0.5,0,1,1
dqcp1xyv,dqcp38p3,2,3,0.6666666666666666,0,1,2
dqcncf22,dqcnf1dm,1,4,0.25,0,3,1
dqcnc6ex,dqcnceeu,1,2,0.5,0,1,1
dqcncx46,dqcngn5b,1,4,0.25,0,2,2
dqcnc48z,dqcnc78q,1,2,0.5,0,1,1
dqcnc2w6,dqcnc778,2,3,0.6666666666666666,0,2,1
dqcnbbzc,dqcncc0t,1,2,0.5,0,1,1
dqcncjbv,dqcncsm5,1,3,0.3333333333333333,1,1,2
dqcnbchm,dqcnbchw,2,3,0.6666666666666666,0,1,2
dqcnct6t,dqcng5m0,1,3,0.3333333333333333,0,1,2
dqcp1wg7,dqcp1zzd,2,3,0.6666666666666666,0,1,2
dqcng74n,dqcp1suq,1,2,0.5,0,1,1
dqcp1wg7,dqcp1zc5,1,2,0.5,0,1,1
dqcnbbzc,dqcnbchw,1,3,0.3333333333333333,0,1,2
dqcp428v,dqcp609q,2,3,0.6666666666666666,0,2,1
dqcncfu4,dqcp40cq,2,3,0.6666666666666666,0,1,2
dqcngggb,dqcp407q,1,2,0.5,0,1,1
dqcng0qg,dqcng5fy,1,2,0.5,0,1,1
dqcncf4c,dqcncf58,1,2,0.5,0,1,1
dqcp1gtj,dqcp1sdg,1,2,0.5,0,1,1
dqcncf58,dqcnctm3,1,2,0.5,0,1,1
dqcp4qdb,dqcp4qe1,1,2,0.5,0,1,1
dqcncu6h,dqcnfcrg,1,2,0.5,0,1,1
dqcn8zhj,dqcnc3w0,1,3,0.3333333333333333,0,2,1
dqcnf9bj,dqcp1suq,1,2,0.5,0,1,1
dqcnfkys,dqcngdu9,1,3,0.3333333333333333,0,1,2
dqcnc16p,dqcnfpuy,1,2,0.5,0,1,1
dqcnc2w6,dqcnc78q,2,3,0.6666666666666666,0,2,1
dqcp1ydc,dqcp38e8,1,2,0.5,0,1,1
dqcnfb0s,dqcp4ndf,1,2,0.5,0,1,1
dqcnfc5h,dqcnfc5n,1,2,0.5,0,1,1
dqcncum5,dqcnfss0,2,5,0.4,0,2,3
dqcp1wwp,dqcp1yd8,1,2,0.5,0,1,1
dqcnc78x,dqcnc78y,1,2,0.5,0,1,1
dqcnc5hq,dqcnckm5,1,2,0.5,0,1,1
dqcnc5hk,dqcnc6mr,2,4,0.5,0,2,2
dqcn9xym,dqcnbbup,1,3,0.3333333333333333,0,1,2
dqcnfkng,dqcnftkb,1,2,0.5,0,1,1
dqcn9rqs,dqcnc778,1,2,0.5,0,1,1
dqcnfb0s,dqcp1zck,1,2,0.5,0,1,1
dqcp1gmz,dqcp4j1c,2,3,0.6666666666666666,0,2,1
