time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,1,repair,16,14,0.0
1,1,repair,5,14,0.0
1,1,repair,46,14,0.07518842713260504
1,1,repair,33,14,0.0
1,1,repair,26,14,0.0
1,1,repair,43,14,0.0
1,1,repair,49,14,0.0
1,1,repair,8,14,0.0
1,1,repair,9,14,0.0
1,1,repair,19,14,0.09657011020370793
1,1,repair,23,14,0.0
1,1,repair,18,14,0.0
1,0,vacant,27,14,0.0
1,0,vacant,50,14,0.0
1,0,vacant,45,14,0.0
1,0,vacant,16,14,0.0
1,0,vacant,5,14,0.0
1,0,vacant,46,14,0.0
1,0,vacant,33,14,0.0
1,0,vacant,26,14,0.0
1,0,vacant,43,14,0.0
1,0,vacant,49,14,0.0
1,0,vacant,8,14,0.0
1,0,vacant,9,14,0.0
1,0,vacant,19,14,0.0
1,0,vacant,23,14,0.0
1,0,vacant,18,14,0.0
1,2,sell,27,14,0.0
1,2,sell,50,14,0.0
1,2,sell,45,14,0.0
1,2,sell,16,14,0.0
1,2,sell,5,14,0.0
1,2,sell,46,14,0.0
1,2,sell,33,14,0.0
1,2,sell,26,14,0.0
1,2,sell,43,14,0.0
1,2,sell,49,14,0.0
1,2,sell,8,14,0.0
1,2,sell,9,14,0.0
1,2,sell,19,14,0.0
1,2,sell,23,14,0.0
1,2,sell,18,14,0.0
1,1,repair,20,15,0.0
1,1,repair,40,15,0.0
1,1,repair,50,15,0.0
1,1,repair,43,15,0.0
1,1,repair,18,15,0.0
1,1,repair,47,15,0.0
1,1,repair,25,15,0.0
1,0,vacant,20,15,0.0
1,0,vacant,40,15,0.0
1,0,vacant,50,15,0.0
1,0,vacant,43,15,0.0
1,0,vacant,18,15,0.0
1,0,vacant,47,15,0.0
1,0,vacant,25,15,0.0
1,1,repair,43,16,0.0
1,1,repair,35,16,0.0
1,1,repair,14,16,0.0
1,1,repair,8,16,0.0
1,1,repair,6,16,0.0
1,1,repair,39,16,0.0
1,1,repair,45,16,0.0
1,1,repair,19,16,0.05777052746536103
1,0,vacant,43,16,0.0
1,0,vacant,35,16,0.0
1,0,vacant,14,16,0.0
1,0,vacant,8,16,0.0
1,0,vacant,6,16,0.0
1,0,vacant,39,16,0.0
1,0,vacant,45,16,0.0
1,0,vacant,19,16,0.0
1,2,sell,43,16,0.0
1,2,sell,35,16,0.0
1,2,sell,14,16,0.0
1,2,sell,8,16,0.0
1,2,sell,6,16,0.0
1,2,sell,39,16,0.0
1,2,sell,45,16,0.0
1,2,sell,19,16,0.0
1,1,repair,47,17,0.0
1,1,repair,19,17,0.0
1,1,repair,23,17,0.0
1,0,vacant,47,17,0.0
1,0,vacant,19,17,0.0
1,0,vacant,23,17,0.0
1,2,sell,47,17,0.0
1,2,sell,19,17,0.0
1,2,sell,23,17,0.0
1,1,repair,43,18,0.0
1,1,repair,33,18,0.0
1,1,repair,40,18,0.0
1,1,repair,9,18,0.0
1,1,repair,39,18,0.0
1,1,repair,36,18,0.0
1,1,repair,49,18,0.0
1,1,repair,31,18,0.0
1,1,repair,10,18,0.0
1,1,repair,7,18,0.0
1,1,repair,15,18,0.0
1,1,repair,14,18,0.0
1,1,repair,20,18,0.0
1,1,repair,32,18,0.0
1,0,vacant,43,18,0.0
1,0,vacant,33,18,0.0
1,0,vacant,40,18,0.0
1,0,vacant,9,18,0.0
1,0,vacant,39,18,0.0
1,0,vacant,36,18,0.0
1,0,vacant,49,18,0.0
1,0,vacant,31,18,0.0
1,0,vacant,10,18,0.0
