household_id_1,household_id_2,link_type,timestep
12071001922h527,12071001922h571,2,2022-07
12071001922h527,12071001922h575,2,2022-07
12071001922h529,12071001922h554,2,2022-07
12071001922h529,12071001923h641,2,2022-07
12071001922h530,12071001922h535,2,2022-07
12071001922h530,12071001922h582,2,2022-07
12071001922h530,12071001922h588,2,2022-07
12071001922h532,12071001922h537,2,2022-07
12071001922h532,12071001922h543,2,2022-07
12071001922h532,12071001922h570,2,2022-07
12071001922h532,12071001922h587,2,2022-07
12071001922h532,12071001922h589,2,2022-07
12071001922h533,12071001922h541,2,2022-07
12071001922h533,12071001922h546,2,2022-07
12071001922h533,12071001922h564,2,2022-07
12071001922h533,12071001922h574,2,2022-07
12071001922h533,12071001922h587,2,2022-07
12071001922h533,12071001922h920,2,2022-07
12071001922h533,12071001923h568,2,2022-07
12071001922h533,12071001923h594,2,2022-07
12071001922h534,12071001922h549,2,2022-07
12071001922h534,12071001922h552,2,2022-07
12071001922h534,12071001922h582,2,2022-07
12071001922h534,12071001923h740,2,2022-07
12071001922h534,12071001923h903,2,2022-07
12071001922h535,12071001922h588,2,2022-07
12071001922h537,12071001922h544,2,2022-07
12071001922h537,12071001922h557,2,2022-07
12071001922h538,12071001922h541,2,2022-07
12071001922h538,12071001922h548,2,2022-07
12071001922h538,12071001922h918,2,2022-07
12071001922h539,12071001922h572,2,2022-07
12071001922h539,12071001922h578,2,2022-07
12071001922h540,12071001922h573,2,2022-07
12071001922h540,12071001922h574,2,2022-07
12071001922h541,12071001922h564,2,2022-07
12071001922h541,12071001922h582,2,2022-07
12071001922h542,12071001922h557,2,2022-07
12071001922h542,12071001922h584,2,2022-07
12071001922h542,12071001922h914,2,2022-07
12071001922h543,12071001922h544,2,2022-07
12071001922h543,12071001922h559,2,2022-07
12071001922h543,12071001922h560,2,2022-07
12071001922h543,12071001922h564,2,2022-07
12071001922h543,12071001922h565,2,2022-07
12071001922h543,12071001922h572,2,2022-07
12071001922h543,12071001922h575,2,2022-07
12071001922h543,12071001922h589,2,2022-07
12071001922h543,12071001923h660,2,2022-07
12071001922h544,12071001922h559,2,2022-07
12071001922h544,12071001922h564,2,2022-07
12071001922h544,12071001922h572,2,2022-07
12071001922h544,12071001922h587,2,2022-07
12071001922h544,12071001922h588,2,2022-07
12071001922h546,12071001922h571,2,2022-07
12071001922h546,12071001922h920,2,2022-07
12071001922h548,12071001922h570,2,2022-07
12071001922h554,12071001923h578,2,2022-07
12071001922h554,12071001923h641,2,2022-07
12071001922h557,12071001922h914,2,2022-07
12071001922h559,12071001922h563,2,2022-07
12071001922h559,12071001922h918,2,2022-07
12071001922h560,12071001922h570,2,2022-07
12071001922h560,12071001922h584,2,2022-07
12071001922h563,12071001922h564,2,2022-07
12071001922h563,12071001922h582,2,2022-07
12071001922h564,12071001922h572,2,2022-07
12071001922h564,12071001922h578,2,2022-07
12071001922h564,12071001922h587,2,2022-07
12071001922h565,12071001922h589,2,2022-07
12071001922h570,12071001922h589,2,2022-07
12071001922h571,12071001922h582,2,2022-07
12071001922h571,12071001922h920,2,2022-07
12071001922h572,12071001922h578,2,2022-07
12071001922h572,12071001923h673,2,2022-07
12071001922h573,12071001922h574,2,2022-07
12071001922h573,12071001922h918,2,2022-07
12071001922h575,12071001922h582,2,2022-07
12071001922h575,12071001922h587,2,2022-07
12071001922h575,12071001922h588,2,2022-07
12071001922h580,12071001922h587,2,2022-07
12071001922h581,12071001922h582,2,2022-07
12071001922h582,12071001922h592,2,2022-07
12071001922h587,12071001923h570,2,2022-07
12071001922h587,12071001923h657,2,2022-07
12071001922h588,12071001923h588,2,2022-07
12071001922h592,12071001922h682,2,2022-07
12071001922h682,12071001922h914,2,2022-07
12071001923h1142,12071001923h588,2,2022-07
12071001923h1142,12071001923h615,2,2022-07
12071001923h1142,12071001923h731,2,2022-07
